§	/yyybs/
て	/zc/
で	/zc/
と	/zc/
ど	/zc/
な	/zc/
に	/zc/
ぬ	/zc/
ね	/zc/
の	/zc/
は	/zc/
ば	/zc/
ぱ	/zc/
ひ	/zc/
び	/zc/
ぴ	/zc/
ふ	/zc/
ぶ	/zc/
ぷ	/zc/
へ	/zc/
べ	/zc/
ぺ	/zc/
ほ	/zc/
ぼ	/zc/
ぽ	/zc/
ま	/zc/
み	/zc/
む	/zc/
め	/zc/
も	/zc/
ゃ	/zc/
や	/zc/
ゅ	/zc/
ゆ	/zc/
ょ	/zc/
よ	/zc/
ら	/zc/
り	/zc/
る	/zc/
れ	/zc/
ろ	/zc/
ゎ	/zc/
わ	/zc/
ゐ	/zc/
ゑ	/zc/
を	/zc/
ん	/zc/
ァ	/zd/
ア	/zd/
ィ	/zd/
イ	/zd/
ゥ	/zd/
ウ	/zd/
ェ	/zd/
エ	/zd/
ォ	/zd/
オ	/zd/
カ	/zd/
ガ	/zd/
キ	/zd/
ギ	/zd/
ク	/zd/
グ	/zd/
ケ	/zd/
ゲ	/zd/
コ	/zd/
ゴ	/zd/
サ	/zd/
ザ	/zd/
シ	/zd/
ジ	/zd/
ス	/zd/
ズ	/zd/
セ	/zd/
ゼ	/zd/
ソ	/zd/
ゾ	/zd/
タ	/zd/
ダ	/zd/
チ	/zd/
ヂ	/zd/
ッ	/zd/
ツ	/zd/
ヅ	/zd/
テ	/zd/
デ	/zd/
ト	/zd/
ド	/zd/
ナ	/zd/
ニ	/zd/
ヌ	/zd/
ネ	/zd/
ノ	/zd/
ハ	/zd/
バ	/zd/
パ	/zd/
ヒ	/zd/
ビ	/zd/
ピ	/zd/
フ	/zd/
ブ	/zd/
プ	/zd/
ヘ	/zd/
ベ	/zd/
ペ	/zd/
ホ	/zd/
ボ	/zd/
ポ	/zd/
マ	/zd/
ミ	/zd/
ム	/zd/
メ	/zd/
モ	/zd/
ャ	/zd/
ヤ	/zd/
ュ	/zd/
ユ	/zd/
ョ	/zd/
ヨ	/zd/
ラ	/zd/
リ	/zd/
ル	/zd/
レ	/zd/
ロ	/zd/
ヮ	/zd/
ワ	/zd/
ヰ	/zd/
ヱ	/zd/
ヲ	/zd/
ン	/zd/
ヴ	/zd/
ヵ	/zd/
ヶ	/zd/
ㄅ	/yyyxa/
ㄆ	/yyyxb/
ㄇ	/yyyxc/
ㄈ	/yyyxd/
ㄉ	/yyyxe/
ㄊ	/yyyxf/
ㄋ	/yyyxg/
ㄌ	/yyyxh/
ㄍ	/yyyxi/
ㄎ	/yyyxj/
ㄏ	/yyyxk/
ㄐ	/yyyxl/
ㄑ	/yyyxm/
ㄒ	/yyyxn/
ㄓ	/yyyxo/
ㄔ	/yyyxp/
ㄕ	/yyyxq/
ㄖ	/yyyxr/
ㄗ	/yyyxs/
ㄘ	/yyyxt/
ㄙ	/yyyxu/
ㄚ	/yyyxy/
ㄛ	/yyyya/
ㄜ	/yyyyb/
ㄝ	/yyyyc/
ㄞ	/yyyyd/
ㄟ	/yyyye/
ㄠ	/yyyyf/
ㄡ	/yyyyg/
ㄢ	/yyyyh/
ㄣ	/yyyyi/
ㄤ	/yyyyj/
ㄥ	/yyyyk/
ㄦ	/yyyyl/
ㄧ	/yyyxv/
ㄨ	/yyyxw/
ㄩ	/yyyxx/
㈠	/zbd/
㈡	/zbd/
㈢	/zbd/
㈣	/zbd/
㈤	/zbd/
㈥	/zbd/
㈦	/zbd/
㈧	/zbd/
㈨	/zbd/
㈩	/zbd/
一	/m/	/yat1/
丁	/mn/	/ding1/
丂	/mvs/	/haau9/
七	/ju/	/chat1/
丄	/lm/	/seung6/
丅	/ml/xml/	/ha6/
丆	/mh/xmh/	/daan1/
万	/ms/	/maan6/
丈	/jk/	/jeung6/
三	/mmm/	/saam1/
上	/ym/	/seung6/seung5/
下	/my/	/ha6/
丌	/ml/	/gei1/
不	/mf/	/bat1/
与	/ysm/	/yue5/
丏	/mlvs/	/min5/
丐	/myvs/	/koi4/
丑	/ng/	/chau9/
丒	/skm/	/ng5/
专	/qni/	/juen1/
且	/bm/	/che9/
丕	/mfm/	/pei1/
世	/pt/	/sai4/
丗	/tj/xtj/	/sai4/
丘	/om/	/yau1/
丙	/mob/	/bing9/
业	/tc/xtc/	/yip6/
丛	/oom/	/chung0/
东	/kd/	/dung1/
丝	/vvm/	/si1/
丞	/nem/xnem/	/sing0/
丟	/mgi/xxmgi/	/diu1/
丠	/lpm/	/kei4/
両	/mub/	/leung5/
丢	/hgi/	/diu1/
丣	/mlls/	/yau5/
两	/moob/	/leung5/
严	/mtch/	/yim0/
並	/ttc/	/bing6/
丧	/gcv/	/song1/song4/
丨	/l/xl/	/gwan9/
丩	/vl/xxvl/	/gau9/
个	/ol/	/go4/
丫	/cl/	/a1/
丬	/lim/xlim/	/baan6/
中	/l/	/jung1/
丮	/nq/	/gik1/
丯	/qj/xqj/	/gaai4/
丰	/qj/	/fung1/
丱	/vlllm/	/gwaan4/
串	/ll/	/chuen4/
丳	/llww/	/chaan9/
临	/lloa/	/lam0/
丵	/tctj/	/jok6/
丶	/i/xxi/	/jue9/
丷	/ih/xih/	/baat4/
丸	/kni/	/yuen0/yuen9/
丹	/by/	/daan1/
为	/iksi/	/wai0/wai6/
主	/yg/	/jue9/
丼	/tti/	/jeng9/
丽	/mbib/mmbib/	/lai6/
举	/fcq/	/gui9/
丿	/h/xh/	/pit4/
乀	/mo/xmo/	/fat1/
乁	/mo/xxmo/	/yi0/
乂	/k/xk/	/ngaai6/
乃	/nhs/	/naai5/
乄	/ku/xxku/	/ngoi9/
久	/no/xno/	/gau9/
乆	/vo/	/gau9/
乇	/hp/	/tok4/
么	/hi/	/mo1/
义	/ik/xik/	/yi6/
乊	/hc/
之	/ino/	/ji1/
乌	/pvsm/	/wu1/
乍	/os/	/ja4/
乎	/hfd/	/fu0/
乏	/hino/	/fat6/
乐	/hvd/	/lok6/ngok6/
乑	/ohho/	/yam0/
乒	/omh/	/bing1/
乓	/omi/	/bam1/
乔	/hkll/	/kiu0/
乕	/hqb/	/fu9/
乖	/hjlp/	/gwaai1/
乗	/hdt/	/sing0/
乘	/hdlp/	/sing0/
乙	/nu/	/yuet4/
乚	/lu/xlu/	/yuet4/
乛	/mh/xxmh/	/yan9/
乜	/pn/ps/xpn/	/mat1/
九	/kn/	/gau9/
乞	/on/	/hat1/
也	/pd/	/ya5/
习	/sim/	/jaap6/
乡	/vvh/	/heung1/
乢	/uu/xxxua/	/goi4/
乣	/viu/	/gau9/
乤	/myn/	/ha6/
乥	/hcn/	/fu0/
书	/ids/	/sue1/
乧	/yjn/	/dau9/
乨	/iru/	/chi9/
乩	/xyru/yru/	/gei1/
乪	/nw/	/kek6/
乫	/krn/	/ga1/
乬	/ssn/	/gui6/
乭	/mrn/	/sek6/
乮	/hln/	/maau5/
乯	/hfdn/	/fu0/
买	/nyk/	/maai5/
乱	/hru/	/luen6/
乲	/ion/	/chi4/
乳	/bdu/	/yue5/
乴	/qln/	/juet6/
乵	/yju/	/yim5/
乶	/ibn/	/fu9/
乷	/ehn/	/sa1/
乸	/pdwyi/	/na9/
乹	/jju/xjju/	/kin0/
乺	/hln/xhln/	/so9/
乻	/yyn/	/yue1/
乼	/egn/	/jue4/
乽	/jan/	/je9/
乾	/jjon/	/gon1/
乿	/bfu/	/ji6/
亀	/nwlu/	/gwai1/
亁	/jjon/xjjon/	/gon1/
亂	/bbu/	/luen6/
亃	/fqu/	/lun5/
亄	/gtu/	/yi4/
亅	/li/	/kuet4/
了	/nn/	/liu5/
亇	/nn/on/xnn/xxon/	/ding1/
予	/ninn/	/yue6/
争	/nsd/	/jang1/jaang1/
